"","birdType","bone","measurement","measurementType","boneAlone"
"202","SW","humw",5.11,"w","Humerus"
"203","SW","humw",4.8,"w","Humerus"
"204","SW","humw",4.76,"w","Humerus"
"205","SW","humw",5.23,"w","Humerus"
"206","SW","humw",5.25,"w","Humerus"
"207","SW","humw",5.25,"w","Humerus"
"208","SW","humw",4.02,"w","Humerus"
"209","SW","humw",4.07,"w","Humerus"
"210","SW","humw",5.82,"w","Humerus"
"211","SW","humw",5.6,"w","Humerus"
"212","SW","humw",3.94,"w","Humerus"
"213","SW","humw",5.92,"w","Humerus"
"214","SW","humw",5.69,"w","Humerus"
"215","SW","humw",3.76,"w","Humerus"
"216","SW","humw",3.81,"w","Humerus"
"217","SW","humw",3.54,"w","Humerus"
"218","SW","humw",3.73,"w","Humerus"
"219","SW","humw",5.75,"w","Humerus"
"220","SW","humw",3.77,"w","Humerus"
"221","SW","humw",3.84,"w","Humerus"
"222","SW","humw",4.71,"w","Humerus"
"223","SW","humw",4.65,"w","Humerus"
"224","SW","humw",4.8,"w","Humerus"
"225","SW","humw",5.07,"w","Humerus"
"226","SW","humw",4.74,"w","Humerus"
"227","SW","humw",5.42,"w","Humerus"
"228","SW","humw",6.82,"w","Humerus"
"229","SW","humw",7.1,"w","Humerus"
"230","SW","humw",5.36,"w","Humerus"
"231","SW","humw",3.79,"w","Humerus"
"232","SW","humw",6.48,"w","Humerus"
"233","SW","ulnal",72.01,"l","Ulna"
"234","SW","ulnal",80.53,"l","Ulna"
"235","SW","ulnal",69.26,"l","Ulna"
"236","SW","ulnal",65.76,"l","Ulna"
"237","SW","ulnal",52.09,"l","Ulna"
"238","SW","ulnal",50.46,"l","Ulna"
"239","SW","ulnal",67.39,"l","Ulna"
"240","SW","ulnal",74.52,"l","Ulna"
"241","SW","ulnal",116.64,"l","Ulna"
"242","SW","ulnal",144,"l","Ulna"
"243","SW","ulnal",156,"l","Ulna"
"244","SW","ulnal",152,"l","Ulna"
"245","SW","ulnal",142,"l","Ulna"
"246","SW","ulnal",121.35,"l","Ulna"
"247","SW","ulnal",121.48,"l","Ulna"
"248","SW","ulnal",115.97,"l","Ulna"
"249","SW","ulnal",108.78,"l","Ulna"
"250","SW","ulnal",100.37,"l","Ulna"
"251","SW","ulnal",102.53,"l","Ulna"
"252","SW","ulnal",95.79,"l","Ulna"
"253","SW","ulnal",100.71,"l","Ulna"
"254","SW","ulnal",97.7,"l","Ulna"
"255","SW","ulnal",97.1,"l","Ulna"
"256","SW","ulnal",59,"l","Ulna"
"257","SW","ulnal",65.19,"l","Ulna"
"258","SW","ulnal",66.11,"l","Ulna"
"259","SW","ulnal",32.49,"l","Ulna"
"260","SW","ulnal",32.73,"l","Ulna"
"261","SW","ulnal",31,"l","Ulna"
"262","SW","ulnal",45.83,"l","Ulna"
"263","SW","ulnal",44.05,"l","Ulna"
"264","SW","ulnal",228,"l","Ulna"
"265","SW","ulnal",250,"l","Ulna"
"266","SW","ulnal",278,"l","Ulna"
"267","SW","ulnal",235,"l","Ulna"
"268","SW","ulnal",222,"l","Ulna"
"269","SW","ulnal",280,"l","Ulna"
"270","SW","ulnal",242,"l","Ulna"
"271","SW","ulnal",320,"l","Ulna"
"272","SW","ulnal",310,"l","Ulna"
"273","SW","ulnal",110,"l","Ulna"
"274","SW","ulnal",107.8,"l","Ulna"
"275","SW","ulnal",155,"l","Ulna"
"276","SW","ulnal",167,"l","Ulna"
"277","SW","ulnal",131,"l","Ulna"
"278","SW","ulnal",116,"l","Ulna"
"279","SW","ulnal",142,"l","Ulna"
"280","SW","ulnal",193,"l","Ulna"
"281","SW","ulnal",196,"l","Ulna"
"282","SW","ulnal",167,"l","Ulna"
"283","SW","ulnal",187,"l","Ulna"
"284","SW","ulnal",181,"l","Ulna"
"285","SW","ulnal",201,"l","Ulna"
"286","SW","ulnal",27.24,"l","Ulna"
"287","SW","ulnal",28.05,"l","Ulna"
"288","SW","ulnal",36.37,"l","Ulna"
"289","SW","ulnal",315,"l","Ulna"
"290","SW","ulnal",252,"l","Ulna"
"291","SW","ulnal",422,"l","Ulna"
"292","SW","ulnal",247.5,"l","Ulna"
"293","SW","ulnal",300,"l","Ulna"
"294","SW","ulnal",20.75,"l","Ulna"
"295","SW","ulnal",28.72,"l","Ulna"
"296","SW","ulnal",34.42,"l","Ulna"
"297","SW","ulnal",81.59,"l","Ulna"
"298","SW","ulnal",83.31,"l","Ulna"
"299","SW","ulnal",35.11,"l","Ulna"
"300","SW","ulnal",31.74,"l","Ulna"
"301","SW","ulnal",36.96,"l","Ulna"
"302","SW","ulnal",43.1,"l","Ulna"
"303","SW","ulnal",27.19,"l","Ulna"
"304","SW","ulnal",26.48,"l","Ulna"
"305","SW","ulnal",36.73,"l","Ulna"
"306","SW","ulnal",34.19,"l","Ulna"
"307","SW","ulnal",93.55,"l","Ulna"
"308","SW","ulnal",104.57,"l","Ulna"
"309","SW","ulnal",104.78,"l","Ulna"
"310","SW","ulnal",105.17,"l","Ulna"
"311","SW","ulnal",52.74,"l","Ulna"
"312","SW","ulnal",54.28,"l","Ulna"
"313","SW","ulnal",61.4,"l","Ulna"
"314","SW","ulnal",65.47,"l","Ulna"
"315","SW","ulnal",143.86,"l","Ulna"
"316","SW","ulnal",154.66,"l","Ulna"
"317","SW","ulnal",97.02,"l","Ulna"
"318","SW","ulnal",98.02,"l","Ulna"
"319","SW","ulnal",93.9,"l","Ulna"
"320","SW","ulnal",92.4,"l","Ulna"
"321","SW","ulnal",85.96,"l","Ulna"
"322","SW","ulnal",86.64,"l","Ulna"
"323","SW","ulnal",80.66,"l","Ulna"
"324","SW","ulnal",70.21,"l","Ulna"
"325","SW","ulnal",67.08,"l","Ulna"
"326","SW","ulnal",106.74,"l","Ulna"
"327","SW","ulnal",109.44,"l","Ulna"
"328","SW","ulnal",74.39,"l","Ulna"
"329","SW","ulnal",103.65,"l","Ulna"
"330","SW","ulnal",110.5,"l","Ulna"
"331","SW","ulnal",69.61,"l","Ulna"
"332","SW","ulnal",68.64,"l","Ulna"
"333","SW","ulnal",67.98,"l","Ulna"
"334","SW","ulnal",68.55,"l","Ulna"
"335","SW","ulnal",107.95,"l","Ulna"
"336","SW","ulnal",71.15,"l","Ulna"
"337","SW","ulnal",72.31,"l","Ulna"
"338","SW","ulnal",110.21,"l","Ulna"
"339","SW","ulnal",109.87,"l","Ulna"
"340","SW","ulnal",101.28,"l","Ulna"
"341","SW","ulnal",100.81,"l","Ulna"
"342","SW","ulnal",61.26,"l","Ulna"
"343","SW","ulnal",66.16,"l","Ulna"
"344","SW","ulnal",104.02,"l","Ulna"
"345","SW","ulnal",96.85,"l","Ulna"
"346","SW","ulnal",69.06,"l","Ulna"
"347","SW","ulnal",61.06,"l","Ulna"
"348","SW","ulnal",91.69,"l","Ulna"
"349","SW","ulnaw",4.88,"w","Ulna"
"350","SW","ulnaw",5.59,"w","Ulna"
"351","SW","ulnaw",5.28,"w","Ulna"
"352","SW","ulnaw",4.77,"w","Ulna"
"353","SW","ulnaw",3.73,"w","Ulna"
"354","SW","ulnaw",3.47,"w","Ulna"
"355","SW","ulnaw",4.5,"w","Ulna"
"356","SW","ulnaw",4.55,"w","Ulna"
"357","SW","ulnaw",6.13,"w","Ulna"
"358","SW","ulnaw",7.05,"w","Ulna"
"359","SW","ulnaw",8.68,"w","Ulna"
"360","SW","ulnaw",8.76,"w","Ulna"
"361","SW","ulnaw",8.43,"w","Ulna"
"362","SW","ulnaw",6.5,"w","Ulna"
"363","SW","ulnaw",6.21,"w","Ulna"
"364","SW","ulnaw",5.81,"w","Ulna"
"365","SW","ulnaw",5.83,"w","Ulna"
"366","SW","ulnaw",5.82,"w","Ulna"
"367","SW","ulnaw",5.64,"w","Ulna"
"368","SW","ulnaw",4.33,"w","Ulna"
"369","SW","ulnaw",4.39,"w","Ulna"
"370","SW","ulnaw",4.66,"w","Ulna"
"371","SW","ulnaw",4.6,"w","Ulna"
"372","SW","ulnaw",2.75,"w","Ulna"
"373","SW","ulnaw",2.93,"w","Ulna"
"374","SW","ulnaw",2.77,"w","Ulna"
"375","SW","ulnaw",8.26,"w","Ulna"
"376","SW","ulnaw",8.58,"w","Ulna"
"377","SW","ulnaw",7.73,"w","Ulna"
"378","SW","ulnaw",10.33,"w","Ulna"
"379","SW","ulnaw",8.62,"w","Ulna"
"380","SW","ulnaw",8.65,"w","Ulna"
"381","SW","ulnaw",9.64,"w","Ulna"
"382","SW","ulnaw",10.74,"w","Ulna"
"383","SW","ulnaw",8.02,"w","Ulna"
"384","SW","ulnaw",8.57,"w","Ulna"
"385","SW","ulnaw",9.22,"w","Ulna"
"386","SW","ulnaw",9.8,"w","Ulna"
"387","SW","ulnaw",10.42,"w","Ulna"
"388","SW","ulnaw",10.9,"w","Ulna"
"389","SW","ulnaw",5.8,"w","Ulna"
"390","SW","ulnaw",5.83,"w","Ulna"
"391","SW","ulnaw",5.9,"w","Ulna"
"392","SW","ulnaw",6.02,"w","Ulna"
"393","SW","ulnaw",4.83,"w","Ulna"
"394","SW","ulnaw",4.51,"w","Ulna"
"395","SW","ulnaw",5.68,"w","Ulna"
"396","SW","ulnaw",7.48,"w","Ulna"
"397","SW","ulnaw",7.41,"w","Ulna"
"398","SW","ulnaw",6.66,"w","Ulna"
"399","SW","ulnaw",6.68,"w","Ulna"
"400","SW","ulnaw",6.72,"w","Ulna"
"401","SW","ulnaw",7.24,"w","Ulna"
"402","SW","ulnaw",2.03,"w","Ulna"
"403","SW","ulnaw",1.89,"w","Ulna"
"404","SW","ulnaw",2.29,"w","Ulna"
"405","SW","ulnaw",9.51,"w","Ulna"
"406","SW","ulnaw",8.31,"w","Ulna"
"407","SW","ulnaw",11.72,"w","Ulna"
"408","SW","ulnaw",7.5,"w","Ulna"
"409","SW","ulnaw",8.65,"w","Ulna"
"410","SW","ulnaw",1.82,"w","Ulna"
"411","SW","ulnaw",2.34,"w","Ulna"
"412","SW","ulnaw",2.25,"w","Ulna"
"413","SW","ulnaw",4,"w","Ulna"
"414","SW","ulnaw",3.7,"w","Ulna"
"415","SW","ulnaw",1.71,"w","Ulna"
"416","SW","ulnaw",1.78,"w","Ulna"
"417","SW","ulnaw",2.01,"w","Ulna"
"418","SW","ulnaw",2.43,"w","Ulna"
"419","SW","ulnaw",1.72,"w","Ulna"
"420","SW","ulnaw",1.51,"w","Ulna"
"421","SW","ulnaw",3.1,"w","Ulna"
"422","SW","ulnaw",3.22,"w","Ulna"
"423","SW","ulnaw",4.07,"w","Ulna"
"424","SW","ulnaw",4.37,"w","Ulna"
"425","SW","ulnaw",4.8,"w","Ulna"
"426","SW","ulnaw",4.81,"w","Ulna"
"427","SW","ulnaw",2.8,"w","Ulna"
"428","SW","ulnaw",3.21,"w","Ulna"
"429","SW","ulnaw",3.13,"w","Ulna"
"430","SW","ulnaw",3.65,"w","Ulna"
"431","SW","ulnaw",5.47,"w","Ulna"
"432","SW","ulnaw",6.09,"w","Ulna"
"433","SW","ulnaw",4.11,"w","Ulna"
"434","SW","ulnaw",4.46,"w","Ulna"
"435","SW","ulnaw",3.96,"w","Ulna"
"436","SW","ulnaw",4.09,"w","Ulna"
"437","SW","ulnaw",4.25,"w","Ulna"
"438","SW","ulnaw",3.99,"w","Ulna"
"439","SW","ulnaw",4.26,"w","Ulna"
"440","SW","ulnaw",3.29,"w","Ulna"
"441","SW","ulnaw",3.61,"w","Ulna"
"442","SW","ulnaw",4.71,"w","Ulna"
"443","SW","ulnaw",4.88,"w","Ulna"
"444","SW","ulnaw",3.56,"w","Ulna"
"445","SW","ulnaw",4.78,"w","Ulna"
"446","SW","ulnaw",5.32,"w","Ulna"
"447","SW","ulnaw",3.2,"w","Ulna"
"448","SW","ulnaw",3.36,"w","Ulna"
"449","SW","ulnaw",3.24,"w","Ulna"
"450","SW","ulnaw",3.19,"w","Ulna"
"451","SW","ulnaw",4.86,"w","Ulna"
"452","SW","ulnaw",3.34,"w","Ulna"
"453","SW","ulnaw",3.42,"w","Ulna"
"454","SW","ulnaw",4.12,"w","Ulna"
"455","SW","ulnaw",4.04,"w","Ulna"
"456","SW","ulnaw",4.13,"w","Ulna"
"457","SW","ulnaw",4.04,"w","Ulna"
"458","SW","ulnaw",3.97,"w","Ulna"
"459","SW","ulnaw",4.16,"w","Ulna"
"460","SW","ulnaw",5.07,"w","Ulna"
"461","SW","ulnaw",5.43,"w","Ulna"
"462","SW","ulnaw",4.02,"w","Ulna"
"463","SW","ulnaw",3.35,"w","Ulna"
"464","SW","ulnaw",5.31,"w","Ulna"
"465","SW","feml",41.81,"l","Femur"
"466","SW","feml",47.04,"l","Femur"
"467","SW","feml",43.07,"l","Femur"
"468","SW","feml",40.04,"l","Femur"
"469","SW","feml",33.95,"l","Femur"
"470","SW","feml",49.52,"l","Femur"
"471","SW","feml",42.07,"l","Femur"
"472","SW","feml",44.46,"l","Femur"
"473","SW","feml",59.33,"l","Femur"
"474","SW","feml",70.96,"l","Femur"
"475","SW","feml",80.25,"l","Femur"
"476","SW","feml",56.02,"l","Femur"
"477","SW","feml",52.18,"l","Femur"
"478","SW","feml",44.29,"l","Femur"
"479","SW","feml",43.33,"l","Femur"
"480","SW","feml",39.75,"l","Femur"
"481","SW","feml",37.99,"l","Femur"
"482","SW","feml",34.54,"l","Femur"
"483","SW","feml",36.52,"l","Femur"
"484","SW","feml",41.96,"l","Femur"
"485","SW","feml",43.95,"l","Femur"
"486","SW","feml",45.08,"l","Femur"
"487","SW","feml",43.82,"l","Femur"
"488","SW","feml",30.16,"l","Femur"
"489","SW","feml",32.52,"l","Femur"
"490","SW","feml",36.98,"l","Femur"
"491","SW","feml",50.29,"l","Femur"
"492","SW","feml",52.15,"l","Femur"
"493","SW","feml",49.51,"l","Femur"
"494","SW","feml",77.02,"l","Femur"
"495","SW","feml",75.31,"l","Femur"
"496","SW","feml",47.13,"l","Femur"
"497","SW","feml",52.49,"l","Femur"
"498","SW","feml",56.87,"l","Femur"
"499","SW","feml",51,"l","Femur"
"500","SW","feml",47.51,"l","Femur"
"501","SW","feml",52.34,"l","Femur"
"502","SW","feml",52.39,"l","Femur"
"503","SW","feml",91.6,"l","Femur"
"504","SW","feml",86.2,"l","Femur"
"505","SW","feml",36.11,"l","Femur"
"506","SW","feml",36.79,"l","Femur"
"507","SW","feml",58.41,"l","Femur"
"508","SW","feml",59.3,"l","Femur"
"509","SW","feml",49.69,"l","Femur"
"510","SW","feml",48.81,"l","Femur"
"511","SW","feml",55.95,"l","Femur"
"512","SW","feml",58.5,"l","Femur"
"513","SW","feml",60.48,"l","Femur"
"514","SW","feml",52.98,"l","Femur"
"515","SW","feml",58.67,"l","Femur"
"516","SW","feml",49.83,"l","Femur"
"517","SW","feml",55.21,"l","Femur"
"518","SW","feml",21.04,"l","Femur"
"519","SW","feml",22.08,"l","Femur"
"520","SW","feml",28.41,"l","Femur"
"521","SW","feml",88.77,"l","Femur"
"522","SW","feml",73.04,"l","Femur"
"523","SW","feml",110.54,"l","Femur"
"524","SW","feml",69.04,"l","Femur"
"525","SW","feml",84.05,"l","Femur"
"526","SW","feml",16.16,"l","Femur"
"527","SW","feml",20.66,"l","Femur"
"528","SW","feml",17.8,"l","Femur"
"529","SW","feml",38.16,"l","Femur"
"530","SW","feml",38.9,"l","Femur"
"531","SW","feml",14.35,"l","Femur"
"532","SW","feml",14.37,"l","Femur"
"533","SW","feml",15.12,"l","Femur"
"534","SW","feml",18.2,"l","Femur"
"535","SW","feml",12.21,"l","Femur"
"536","SW","feml",12.54,"l","Femur"
"537","SW","feml",25.21,"l","Femur"
"538","SW","feml",23.83,"l","Femur"
"539","SW","feml",41.05,"l","Femur"
"540","SW","feml",44.99,"l","Femur"
"541","SW","feml",48.42,"l","Femur"
"542","SW","feml",45.45,"l","Femur"
"543","SW","feml",22.79,"l","Femur"
"544","SW","feml",23.08,"l","Femur"
"545","SW","feml",32.83,"l","Femur"
"546","SW","feml",36.4,"l","Femur"
"547","SW","feml",47.68,"l","Femur"
"548","SW","feml",51.08,"l","Femur"
"549","SW","feml",29.97,"l","Femur"
"550","SW","feml",29.96,"l","Femur"
"551","SW","feml",31.97,"l","Femur"
"552","SW","feml",28.69,"l","Femur"
"553","SW","feml",32.8,"l","Femur"
"554","SW","feml",32.47,"l","Femur"
"555","SW","feml",30.94,"l","Femur"
"556","SW","feml",26.52,"l","Femur"
"557","SW","feml",28.5,"l","Femur"
"558","SW","feml",70.72,"l","Femur"
"559","SW","feml",37.94,"l","Femur"
"560","SW","feml",24.29,"l","Femur"
"561","SW","feml",38.8,"l","Femur"
"562","SW","feml",40.62,"l","Femur"
"563","SW","feml",25.01,"l","Femur"
"564","SW","feml",24.55,"l","Femur"
"565","SW","feml",24.82,"l","Femur"
"566","SW","feml",24.46,"l","Femur"
"567","SW","feml",35.5,"l","Femur"
"568","SW","feml",24.86,"l","Femur"
"569","SW","feml",24.23,"l","Femur"
"570","SW","feml",36.15,"l","Femur"
"571","SW","feml",35.16,"l","Femur"
"572","SW","feml",36.36,"l","Femur"
"573","SW","feml",37.15,"l","Femur"
"574","SW","feml",28.12,"l","Femur"
"575","SW","feml",30.71,"l","Femur"
"576","SW","feml",40.06,"l","Femur"
"577","SW","feml",37.61,"l","Femur"
"578","SW","feml",30.07,"l","Femur"
"579","SW","feml",24.95,"l","Femur"
"580","SW","feml",35.34,"l","Femur"
"581","SW","femw",3.7,"w","Femur"
"582","SW","femw",4.3,"w","Femur"
"583","SW","femw",3.9,"w","Femur"
"584","SW","femw",3.52,"w","Femur"
"585","SW","femw",2.72,"w","Femur"
"586","SW","femw",4.41,"w","Femur"
"587","SW","femw",3.41,"w","Femur"
"588","SW","femw",3.78,"w","Femur"
"589","SW","femw",5.45,"w","Femur"
"590","SW","femw",7.44,"w","Femur"
"591","SW","femw",7.85,"w","Femur"
"592","SW","femw",7.02,"w","Femur"
"593","SW","femw",6.68,"w","Femur"
"594","SW","femw",6.33,"w","Femur"
"595","SW","femw",5.39,"w","Femur"
"596","SW","femw",5.61,"w","Femur"
"597","SW","femw",5.13,"w","Femur"
"598","SW","femw",5.43,"w","Femur"
"599","SW","femw",4.89,"w","Femur"
"600","SW","femw",4.8,"w","Femur"
"601","SW","femw",5.08,"w","Femur"
"602","SW","femw",5.78,"w","Femur"
"603","SW","femw",5.73,"w","Femur"
"604","SW","femw",2.92,"w","Femur"
"605","SW","femw",3.54,"w","Femur"
"606","SW","femw",3.06,"w","Femur"
"607","SW","femw",5,"w","Femur"
"608","SW","femw",5.11,"w","Femur"
"609","SW","femw",4.69,"w","Femur"
"610","SW","femw",7.76,"w","Femur"
"611","SW","femw",6.76,"w","Femur"
"612","SW","femw",6.16,"w","Femur"
"613","SW","femw",7.6,"w","Femur"
"614","SW","femw",8.03,"w","Femur"
"615","SW","femw",6.71,"w","Femur"
"616","SW","femw",6.39,"w","Femur"
"617","SW","femw",7.24,"w","Femur"
"618","SW","femw",7.5,"w","Femur"
"619","SW","femw",9.71,"w","Femur"
"620","SW","femw",9.96,"w","Femur"
